remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l01q11,l01q12,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l03q11,l03q12,l03q13,l03q14,l03q15,l03q16,l03q17,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l05q11,l05q12,l05q13,l05q14,l05q15,l05q16,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l06q8,l06q9,l06q10,l06q11,l06q12,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l07q7,l07q8,l07q9,l07q10,l07q11,l07q12,l07q13,l07q14,l08q1,l08q2,l08q3,l08q4,l08q5,l08q6,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l09q10,l10q1,l10q2,l10q3,l10q4,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l11q9,l11q10,l11q11,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l13q8,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l14q8,l14q9,l14q10,l14q11,l14q12,l15q1,l15q2,l15q3,l15q4,l15q5,l15q6,l15q7,l15q8,l15q9,l16q1,l16q2,l16q3,l16q4,l16q5,l16q6,l16q7,l16q8
#821B3DA4,59.5,A99402427,290,1,2,1,1,4,4,4,2,4,1,3,1,1,2,1,1,NA,NA,4,3,3,4,4,3,NA,3,3,3,4,4,4,4,4,3,4,4,4,4,2,2,3,4,1,1,1,3,3,3,4,4,2,2,1,1,4,3,4,3,2,4,3,1,3,5,2,2,NA,1,1,1,1,1,3,3,3,5,2,3,1,1,4,4,2,2,1,1,1,1,4,4,3,3,2,2,4,4,3,3,1,2,4,1,1,2,3,3,3,3,2,3,3,4,1,1,2,2,NA,1,4,4,4,NA,1,1,2,5,5,NA,NA,1,5,2,3,2,4,2,3,2,2,1,1,2,2,2,3,2,5,3,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,3,3,3,2,2
#8224F452,49,A09995245,314,2,2,1,3,4,3,2,2,3,2,2,1,1,4,1,1,1,5,4,3,3,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,3,3,5,5,2,2,4,4,3,2,1,4,2,4,2,3,4,4,2,1,1,1,1,3,3,3,2,3,3,3,2,2,1,1,4,4,4,2,2,2,4,4,1,2,4,4,4,4,1,1,2,4,2,2,4,2,2,1,4,4,2,2,3,3,3,4,2,2,2,1,NA,1,2,2,2,2,2,3,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,4,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
#8227DC79,89,A10735863,79,2,2,4,1,1,2,3,3,3,2,3,1,1,4,1,1,4,2,4,1,4,3,4,4,4,3,3,5,3,4,4,4,5,3,1,1,5,4,4,4,4,4,2,1,2,2,5,5,1,4,2,2,4,4,2,2,4,4,5,4,1,3,3,3,2,1,1,1,4,2,3,3,3,3,3,1,2,2,1,1,4,4,1,1,1,5,4,4,1,2,4,4,4,4,5,5,1,1,4,2,4,4,2,3,3,1,3,2,5,3,1,4,1,1,NA,1,2,3,2,2,2,1,1,3,4,3,4,1,3,3,3,1,1,3,4,2,3,4,4,2,2,1,1,1,2,1,3,5,3,3,5,3,4,2,3,1,1,1,5,5,5,5,4,4,1,1,1,3,1,1,1,1
#822B75DC,93.5,A97102026,36,2,NA,1,NA,3,3,2,3,5,2,3,1,3,2,5,5,2,4,4,3,3,5,5,3,5,2,2,2,4,4,4,4,4,4,1,4,4,4,3,3,1,1,4,2,4,3,4,4,5,5,2,2,4,4,2,2,4,4,4,4,4,3,4,3,2,1,NA,1,4,2,NA,1,4,4,4,1,5,2,3,1,4,4,3,3,2,2,3,4,1,1,4,4,2,2,1,1,2,2,2,2,5,5,2,4,3,2,2,2,3,3,3,3,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,3,3,1,1,4,4,2,2,1,2,2,2,3,3,2,2,2,3,4,1,1,1,1,5,2,3,1,3,1,5,5,1,5,NA,NA,2,4,3,3,2,2
#824ED61A,67.5,A97071753,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,4,4,3,5,4,4,5,4,2,2,1,5,4,4,4,4,2,2,1,4,NA,2,3,1,1,1,2,2,2,4,4,5,5,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,1,3,3,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#82518350,98.5,A10898185,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,4,4,3,3,2,2,4,4,2,2,4,4,3,4,2,3,4,4,2,1,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#82527AAA,66,A11409386,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,1,1,4,3,3,5,5,3,3,NA,3,4,3,4,2,2,4,3,4,4,4,4,5,5,2,2,1,1,1,1,4,4,2,2,2,2,1,1,3,3,3,3,3,3,3,1,4,4,2,1,NA,1,4,4,1,1,3,3,1,2,1,1,3,4,4,4,2,2,1,1,NA,1,1,1,3,3,3,3,4,1,4,4,1,1,2,2,2,1,1,2,2,2,1,1,3,3,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,1,1,3,3,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,1,4,4,4,3,3,2,2,3,NA,4,4
#825BC811,84.5,A10070194,110,2,2,4,4,1,3,3,3,3,5,3,1,1,4,2,1,1,1,4,2,5,5,5,3,2,5,2,3,3,4,4,4,3,NA,4,1,4,4,5,3,2,1,2,2,2,3,5,3,1,5,2,NA,3,3,NA,NA,3,3,2,2,2,3,5,5,2,1,5,1,1,1,3,3,2,3,3,3,2,2,1,1,4,4,1,1,2,4,2,4,1,2,2,NA,1,4,1,2,3,2,1,2,5,5,2,2,2,5,2,2,5,3,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,2,1,4,2,3,3,3,2,3,5,1,3,3,2,3,4,2,2,1,2,3,3,2,5,1,1,NA,NA,5,NA,2,5,1,1,1,1,2,2,2,NA
#826C42AC,71,A10765959,240,2,2,3,3,4,4,3,1,3,2,3,5,4,4,1,1,4,4,4,5,3,2,5,3,3,3,3,2,4,4,4,4,3,NA,2,2,1,4,3,4,2,2,5,2,4,NA,4,4,4,4,3,2,1,1,2,2,3,3,4,4,2,3,5,5,2,1,NA,1,2,4,4,3,3,3,2,3,3,2,1,5,4,5,4,1,1,4,2,2,5,2,2,4,NA,NA,1,1,5,2,2,4,NA,NA,5,2,4,2,1,3,2,2,1,3,1,1,2,1,1,1,4,4,4,2,1,2,4,2,3,NA,NA,3,5,3,3,3,3,1,NA,1,1,1,2,2,1,2,3,2,1,1,2,2,4,NA,1,4,3,1,2,2,2,2,1,2,3,2,2,3,2,2,3,3,3,2
#8272A555,66,A10240290,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,5,5,4,4,5,2,2,4,4,2,2,5,4,4,4,2,3,3,3,3,5,NA,5,2,1,NA,1,2,2,3,2,3,4,4,NA,NA,NA,1,1,4,4,1,2,2,1,4,4,1,4,2,1,4,5,2,NA,1,5,2,3,3,3,3,2,5,3,2,4,2,2,3,5,2,2,3,2,2,3,1,4,4,3,3,1,1,1,1,1,4,5,4,3,3,2,2,1,3,2,2,2,2,2,3,3,1,4,4,NA,2,2,2,1,1,1,1,3,5,5,5,5,2,5,2,2,1,4,1,2
#82A5B295,73.5,A10556765,199,2,2,1,1,4,4,NA,3,3,1,3,3,4,3,1,1,3,3,2,3,3,5,2,3,3,3,3,1,3,4,3,1,1,3,4,4,4,NA,2,2,3,1,4,5,3,3,4,4,3,3,1,2,4,4,3,3,2,4,3,4,2,3,4,4,2,1,1,1,3,3,2,2,1,1,2,5,2,3,4,4,4,4,2,2,3,3,1,1,1,2,2,4,2,2,4,5,2,4,2,1,3,3,1,1,1,1,2,3,3,3,2,1,1,1,3,1,1,2,2,3,3,1,1,3,4,3,3,2,3,3,5,1,4,1,2,1,3,2,2,3,3,2,2,2,2,2,3,2,1,1,1,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,2,3,2,2
#82A84B61,74,A10648045,192,1,2,3,1,2,2,5,4,4,1,3,2,4,4,1,1,4,4,4,2,3,1,1,2,3,2,3,2,4,4,4,4,4,4,2,2,3,3,5,5,2,2,3,3,4,4,5,5,2,NA,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,2,2,1,3,1,1,4,4,1,1,3,NA,1,1,1,2,4,4,1,3,1,1,NA,NA,NA,NA,NA,NA,1,4,5,NA,1,2,1,3,2,1,1,1,NA,1,NA,NA,2,2,2,NA,3,1,3,1,3,1,3,3,NA,2,3,3,3,2,3,2,2,1,4,3,3,4,4,3,3,1,3,3,4,4,1,1,3,1,1,1,3,3,4,4,4,4,1,5,2,3,2,2,2,2
#82AD3817,84.5,A97066176,121,2,2,1,NA,2,2,3,3,5,1,3,NA,1,2,1,1,5,5,4,3,3,4,4,3,3,1,1,2,3,4,4,4,3,NA,2,2,1,NA,3,3,NA,2,2,2,4,4,4,3,4,NA,1,2,3,1,2,2,2,5,2,4,2,1,4,4,2,1,NA,1,4,4,3,2,2,1,1,1,2,2,1,1,4,4,3,1,2,4,2,2,1,1,1,1,1,4,1,2,5,5,2,2,4,5,3,2,2,1,3,2,3,3,2,2,1,1,2,1,4,4,2,2,2,1,1,3,3,3,3,4,1,5,5,3,3,1,4,3,3,2,2,1,1,2,2,2,2,2,3,3,1,1,4,4,4,4,2,5,2,NA,1,3,2,2,5,5,2,2,2,2,4,3,2,2
#82B6ECD8,69,A09979977,248,2,2,4,4,4,3,3,3,3,2,3,1,4,4,1,1,2,2,4,3,3,5,5,3,3,2,2,1,5,4,4,4,5,3,4,4,4,4,3,3,2,3,4,4,3,2,4,4,3,1,2,2,4,4,2,2,4,4,1,3,4,3,4,4,4,1,NA,1,3,4,1,1,3,3,1,3,3,3,4,1,4,NA,3,3,2,2,1,2,3,1,3,3,1,3,2,2,2,2,1,2,3,2,2,2,2,2,3,3,4,4,2,2,1,1,2,1,3,3,2,2,2,1,4,4,4,3,3,3,3,3,3,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,4,3,3,4,4,2,3,1,NA,1,1,4,4,4,4,4,4,1,1,2,2,2,2,2,2
#82E0A1C3,79.5,A91423168,129,2,2,3,1,2,3,2,3,3,1,3,4,4,4,1,1,4,5,4,3,3,5,4,3,3,4,2,4,2,2,4,3,5,3,1,2,1,4,3,3,NA,1,3,1,1,1,4,4,4,4,2,2,4,4,1,2,4,4,3,2,3,3,4,4,1,4,NA,4,2,2,NA,NA,3,3,4,4,1,1,1,4,4,4,1,1,3,NA,3,3,3,2,2,2,3,2,3,3,2,4,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,2,2,2,1,2,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,1,1,1,2,3,3,2,2
#82E36E0F,78.5,A09602742,134,NA,NA,2,2,3,1,2,2,3,3,5,2,1,4,1,1,4,1,4,3,3,5,5,3,3,3,2,2,2,4,4,4,3,3,4,4,2,4,1,3,1,1,2,2,2,2,4,4,2,5,2,2,2,2,1,1,2,3,4,3,2,4,4,3,4,4,3,3,3,1,NA,NA,1,1,2,3,2,2,1,1,4,4,NA,2,1,1,2,2,1,NA,2,2,3,2,2,2,1,3,3,2,4,5,NA,2,2,2,3,5,3,3,3,3,2,2,2,1,2,2,4,4,4,1,1,2,2,4,4,2,3,5,3,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,3,4,4,3,NA,2,1,3,1,2,1,2,1,4,4,4,4,3,4,4,3,4,4
#82E5F196,80,A10031853,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,5,5,5,2,2,4,4,3,2,3,3,3,4,4,4,4,2,3,1,1,4,4,1,4,1,1,2,1,5,5,5,5,5,5,2,2,4,4,2,2,2,4,4,4,5,3,3,3,2,1,NA,1,2,2,1,4,3,3,3,3,2,2,1,1,4,4,1,1,1,3,2,4,1,2,4,4,3,4,1,1,NA,1,4,2,3,4,2,1,3,2,3,2,3,3,2,4,1,1,2,1,5,3,2,2,2,1,1,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,5,3,3,4,4,2,2,3,1,1,1,5,3,5,5,5,5,1,1,1,3,1,1,1,1
#82ED016E,81.5,A09964501,169,2,1,1,1,2,3,5,2,3,3,3,1,1,3,1,1,2,2,1,1,3,3,3,3,3,1,2,3,1,1,3,3,3,3,4,4,4,4,3,3,1,1,NA,NA,2,2,4,4,3,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,NA,2,3,3,NA,NA,NA,NA,1,3,2,3,2,2,3,3,NA,1,3,3,3,3,4,4,3,NA,2,2,3,2,3,2,1,2,2,3,NA,2,2,3,3,3,2,2,3,3,1,1,2,2,1,4,3,3,3,2,2,2,3,5,5,1,1,5,5,1,2,4,4,2,2,3,3,3,3,4,4,2,1,2,2,1,2,2,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,3,3
#82F23A4A,56,A10024365,265,2,NA,1,1,3,3,3,5,3,1,3,4,2,4,1,1,1,1,1,3,NA,1,4,3,3,NA,NA,1,3,4,1,4,4,2,3,2,4,4,4,2,4,1,4,4,2,3,5,NA,4,3,2,2,4,5,2,1,3,4,1,4,1,4,3,3,1,1,NA,1,2,2,1,4,1,3,3,3,3,3,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,4,2,2,4,2,1,1,1,5,2,3,1,5,4,5,1,3,3,1,3,4,3,3,2,2,3,3,3,4,2,2,3,1,1,4,4,3,2,3,3,2,1,1,1,1,2,4,5,2,3,1,3,1,2,2,2
#82F5B8CF,86,A09763844,115,NA,NA,1,1,4,3,3,3,3,2,3,1,2,4,3,1,NA,4,4,3,5,4,4,2,3,2,3,3,2,4,4,4,3,3,2,2,4,4,3,3,4,1,1,2,2,NA,3,4,4,4,5,2,2,NA,1,3,2,4,2,2,2,3,4,5,2,1,1,1,2,1,1,1,1,3,2,2,2,2,1,1,4,4,1,1,2,1,4,2,2,2,4,4,3,3,2,1,1,3,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,3,2,2,2,2,1,1,2,4,3,4,NA,NA,3,3,2,1,3,3,1,1,2,1,2,1,2,2,3,3,2,4,3,4,4,3,1,4,4,4,3,3,4,2,2,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA
#82F8FC86,66,A97061741,333,2,2,3,3,2,2,3,3,2,2,NA,1,3,3,2,1,3,2,4,2,3,2,3,2,1,NA,NA,NA,NA,2,4,4,3,3,2,2,4,4,3,3,2,2,NA,NA,NA,NA,5,5,4,4,2,2,4,4,2,2,2,4,3,4,3,3,3,5,3,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,3,3,3,4,3,3,3,3,3,3,4,4,NA,NA,NA,NA,3,1,1,4,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#82FDC5BA,40,A10154891,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,3,2,4,3,3,1,1,4,4,2,3,4,4,4,4,1,1,4,4,4,3,2,2,3,3,2,2,1,4,3,4,2,3,3,3,2,4,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,1,2,1,1,4,4,2,2,4,4,NA,NA,NA,NA,NA,NA,2,1,2,5,2,2,3,3,3,1,NA,NA,NA,NA,1,2,1,2,1,1,1,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,2,2,2,4,4,3,3,2,2,4,2,3,3
#83018301,72.5,A96037067,254,2,2,4,1,3,3,5,3,3,2,3,1,4,4,1,1,4,5,4,3,5,1,4,4,3,2,2,1,4,5,4,4,1,3,2,1,4,4,3,5,2,1,2,2,2,3,3,3,4,3,2,2,4,4,3,2,2,2,2,2,4,3,5,2,2,1,NA,1,4,4,NA,3,4,3,1,1,3,3,1,1,4,4,1,1,1,4,1,4,2,2,3,1,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,3,2,2,2,3,1,4,4,1,1,2,2,2,5,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,3,4,2,2,1,2,3,3,2,NA,2,2,1,1,2,2,4,4,1,1,1,1,NA,2,1,NA
#83029B1A,55,A97021657,292,2,2,1,1,3,3,2,3,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,4,4,4,5,3,1,1,5,1,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,4,4,2,3,3,3,1,2,1,1,4,4,3,3,5,3,1,5,2,2,1,1,4,4,4,1,1,4,1,1,5,3,4,4,1,3,1,1,4,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,2,4,4,4,1,1,1,1,1,1,3,1,NA,5,1,1,2,2,3,1,1,NA,1,NA,1,1,1,1,3,4,1,1,3,1,1,1,1,2,1,1,1,2,NA,1,1,1,1,5,5,1,1,1,1,1,1
#830443C4,86.5,A99045235,70,2,2,2,1,3,3,2,4,3,2,4,1,1,4,1,1,2,4,4,2,5,4,4,3,1,3,2,1,2,4,4,NA,5,5,1,NA,4,4,3,3,2,2,NA,2,4,4,4,5,4,4,2,NA,4,4,2,2,3,4,2,4,2,3,4,4,2,2,NA,2,2,2,1,3,3,3,1,3,3,2,1,1,4,4,1,1,3,4,2,2,4,2,1,4,2,NA,4,1,4,3,2,1,5,3,2,2,2,2,3,3,3,3,1,1,1,NA,NA,1,1,2,4,4,4,4,5,4,4,4,5,1,1,4,5,2,3,4,5,3,3,4,3,2,2,5,1,2,3,2,3,1,1,4,4,4,2,5,2,1,NA,1,4,5,3,4,2,1,3,2,2,2,3,NA,3,3
#83049B1C,56.5,A09833709,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,2,4,5,2,5,1,5,2,3,5,5,1,4,4,3,5,1,5,5,4,2,4,3,3,2,2,2,3,3,3,5,5,2,2,1,1,4,2,5,5,4,4,1,4,2,3,5,5,5,1,1,1,3,3,1,1,2,4,5,2,5,3,1,1,4,4,2,2,5,3,1,1,1,1,1,4,2,1,2,2,2,1,1,1,3,3,1,2,1,3,5,5,2,3,3,2,1,1,2,1,4,4,1,3,3,1,1,3,4,5,3,1,3,5,5,4,5,3,3,2,2,2,2,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,4,2,2,5,5,3,1,3,3,3,3,2,2
#830B850D,81,A11516451,75,3,2,4,1,3,3,2,3,3,1,4,1,1,4,1,1,1,4,4,5,5,4,4,3,5,1,2,1,4,4,4,4,3,3,3,4,4,4,3,3,1,1,2,2,1,2,4,4,3,3,2,2,3,4,1,2,1,4,4,4,2,3,3,3,2,3,2,2,1,1,3,3,3,3,3,3,2,2,1,1,4,4,2,1,4,4,3,2,2,5,4,4,4,4,1,1,1,4,2,1,5,5,1,3,2,2,2,2,3,3,4,3,NA,NA,NA,NA,4,2,2,2,2,1,1,3,3,4,4,NA,NA,NA,NA,3,3,4,3,3,3,2,2,4,3,5,5,3,4,2,2,2,2,2,2,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,2,3,3,3
#8338CA71,101,A10572843,18,2,2,4,1,2,2,2,3,3,2,1,5,4,4,1,1,5,5,3,2,3,4,5,3,3,2,2,3,4,4,4,4,3,3,2,2,1,4,3,3,1,2,1,5,5,2,3,4,5,5,1,NA,4,4,2,2,4,4,4,4,2,3,3,3,2,1,NA,5,2,4,2,2,1,1,3,2,3,3,1,1,1,4,1,1,5,5,2,2,5,2,2,4,1,1,1,1,1,2,2,2,3,3,2,3,NA,2,5,2,3,3,2,5,2,2,2,1,2,2,2,4,4,1,1,1,1,3,3,3,3,4,5,5,5,3,3,3,NA,1,1,3,3,1,5,4,2,2,4,4,4,4,4,4,4,NA,3,1,1,1,1,1,5,5,5,5,4,4,1,1,1,3,5,5
#833C239C,72.5,A12495593,219,2,2,5,3,3,3,2,2,2,2,3,5,1,4,1,1,4,4,4,3,3,5,5,3,3,2,2,1,NA,4,4,4,3,3,2,2,3,4,4,2,2,NA,5,5,2,4,1,4,2,4,4,2,4,NA,2,2,2,4,5,5,5,5,3,3,NA,1,NA,1,2,1,3,3,1,3,2,2,3,3,NA,1,4,4,2,2,1,4,4,2,2,2,2,2,3,2,1,1,1,4,3,2,5,3,2,1,2,2,3,3,3,3,5,2,NA,NA,NA,NA,4,NA,4,2,NA,2,2,1,1,3,4,1,1,5,5,3,3,3,2,3,4,3,3,1,3,3,1,1,2,2,3,4,3,2,2,4,1,1,2,1,1,1,1,1,4,4,1,1,1,2,2,3,1,1,2,2
#833C8F30,80.5,A10211905,162,2,2,4,4,3,3,3,4,5,2,3,1,3,4,2,1,5,5,4,3,3,4,4,5,3,5,4,5,4,NA,4,4,4,3,1,1,4,4,3,3,1,1,4,4,4,2,4,4,3,3,2,2,1,3,3,3,3,3,1,4,2,3,3,NA,2,1,1,1,4,4,3,3,2,3,1,1,2,2,1,1,4,4,2,1,1,4,2,2,2,5,3,4,1,4,1,1,4,5,2,2,3,4,2,2,2,4,2,2,3,3,2,3,1,1,2,2,4,4,3,3,3,1,1,2,4,3,3,4,3,1,5,1,2,4,4,3,3,2,2,3,3,1,1,3,3,2,4,1,1,2,4,4,2,2,4,1,1,1,5,2,4,2,1,4,3,4,1,1,3,3,3,3
#83424C8D,79,A10623636,174,2,NA,3,3,2,3,2,4,3,2,3,2,4,4,1,NA,1,5,2,2,5,1,5,2,4,2,2,1,4,NA,4,4,2,5,1,NA,3,4,3,3,1,1,2,1,1,1,4,4,4,4,4,3,NA,3,3,3,4,4,4,4,5,3,4,4,2,1,NA,1,1,3,3,3,4,2,3,NA,2,2,4,4,4,4,3,3,3,3,2,2,2,1,2,1,4,4,2,2,5,5,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,1,4,1,2,2,1,NA,2,3,5,3,2,2,4,4,3,4,1,2,3,3,2,2,2,5,3,2,2,3,2,3,NA,1,2,2,2,1,NA,2,3,1,NA,4,3,2,1,NA,1,5,NA,NA,NA,2,1,2,3
#83439555,69.5,A98071816,279,2,2,3,2,3,3,3,3,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,2,1,1,4,4,2,2,4,3,2,2,2,2,1,1,1,1,2,1,3,1,NA,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,3,3,3,3,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,4,1,1,1,2,5,5,1,2,1,1,5,5,3,3,1,1,3,3,2,2
#83476FAB,57,A98113817,301,2,2,4,1,3,3,2,3,3,2,3,1,2,4,3,1,1,4,4,3,3,1,1,1,3,NA,1,1,5,2,4,4,3,3,4,4,4,4,2,3,2,2,1,1,4,3,3,3,4,4,2,2,4,4,3,3,2,2,3,3,3,3,2,2,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,2,2,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,3,1,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
